  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  0     2     2     4     2  2     1     8     1     5     0.00005440     0.00001720
  0     2     2     4     2  2     1     8     1     8     0.00002246     0.00000710
  1     2     2     4     2  2     2     1     2     2    -0.47025412    -0.33251988
  1     2     2     4     2  2     2     1     1     5     0.44392893     0.31390516
  1     2     2     4     2  2     2     2     2     1     0.31029481     0.15514741
  1     2     2     4     2  2     2     2     2     2     0.78136083     0.39068041
  1     2     2     4     2  2     2     2     1     5     0.26702311     0.13351156
  1     2     2     4     2  2     1     5     1     8    -0.00009794    -0.00003998
  1     2     2     4     2  2     1     5     2     1     0.41732806     0.17037347
  1     2     2     4     2  2     1     5     2     2    -0.24258747    -0.09903592
  1     2     2     4     2  2     1     5     1     5     1.33212865     0.54383925
  1     2     2     4     2  2     1     8     1     8     0.21178618     0.06697267
  0     4     1     2     1  2     2     1     2     2     0.24387273     0.17244406
  0     4     1     2     1  2     2     1     1     5    -0.41044509    -0.29022851
  0     4     1     2     1  2     2     2     2     1    -0.46626507    -0.23313254
  0     4     1     2     1  2     2     2     2     2    -0.08168262    -0.04084131
  0     4     1     2     1  2     2     2     1     5    -0.10443835    -0.05221918
  0     4     1     2     1  2     1     5     2     1    -0.63737425    -0.26020695
  0     4     1     2     1  2     1     5     2     2     0.05480750     0.02237507
  0     4     1     2     1  2     1     5     1     5    -0.73927616    -0.30180823
  0     4     1     2     1  2     1     8     1     8    -2.16305159    -0.68401697
  0     4     1     2     1  2     1     8     1     5     0.00002681     0.00000848
  1     4     1     2     1  2     2     1     2     2     0.45178632     0.31946117
  1     4     1     2     1  2     2     1     1     5    -0.52862968    -0.37379763
  1     4     1     2     1  2     2     2     2     1    -0.54798374    -0.27399187
  1     4     1     2     1  2     2     2     2     2    -1.06240352    -0.53120176
  1     4     1     2     1  2     2     2     1     5    -0.35306280    -0.17653140
  1     4     1     2     1  2     1     5     1     8    -0.00002383    -0.00000973
  1     4     1     2     1  2     1     5     2     1    -0.52516263    -0.21439675
  1     4     1     2     1  2     1     5     2     2     0.40402235     0.16494143
